product_title,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
DOMINO,03672-BROWN-C8-19,4,48000.000,-9600.000,-9600.000,28800.000,0.000,28800.000
JAGA JAGA,167-GRN/BLT,4,38400.000,0.000,0.000,38400.000,0.000,38400.000
NEVADA PRO MAX,191-WHT/ROSE,4,46600.000,-18500.000,0.000,28100.000,0.000,28100.000
INDEPENDENCE,TR-08 C3,4,63000.000,-26700.000,0.000,36300.000,0.000,36300.000
IDOL,1670-BLK/RED-C4,4,63000.000,-35600.000,0.000,27400.000,0.000,27400.000
VITO,2348-GREEN-C3-84,4,38400.000,0.000,0.000,38400.000,0.000,38400.000
MIRA,7075-BLK/ROSEBLUE C9-43,4,76800.000,-32400.000,-9600.000,34800.000,0.000,34800.000
FREEDOM,TR-01 C2,4,50900.000,0.000,0.000,50900.000,0.000,50900.000
NEW AVIATOR,7073-BKL/SLVFD-C4-62,4,65300.000,-24900.000,0.000,40400.000,0.000,40400.000
WEST hideit,D2112-GOLD/YELLOW C8-79,4,38400.000,0.000,0.000,38400.000,0.000,38400.000
"MAN 6635, 8742, 6615",86615-C3,4,47000.000,-11750.000,0.000,35250.000,0.000,35250.000
POSH POLARIZED,AP1059-BLK/BLK-C1-C3,4,65200.000,-24400.000,-7800.000,33000.000,0.000,33000.000
MALIBU,173-MILKTORT/BLT,4,38400.000,0.000,0.000,38400.000,0.000,38400.000
MIRA,7075-BLK/SILVER C4-62,4,46600.000,-17800.000,0.000,28800.000,0.000,28800.000
PAPARAZZI,2258-GOLD/YEL-C3-81,4,70500.000,-5733.340,-22066.660,42700.000,0.000,42700.000
5004,5004-SLV/BLT-C2,4,54800.000,-26700.000,0.000,28100.000,0.000,28100.000
QT,7163-GOLD/BRN/PINK-C1,4,46600.000,0.000,0.000,46600.000,0.000,46600.000
IBIZA,1601-BLK/VLT C2,4,47000.000,-12200.000,0.000,34800.000,0.000,34800.000
OLIVIA,M322-RED,4,46600.000,-8900.000,0.000,37700.000,0.000,37700.000
OCTA,09047-BROWN-C2,3,28800.000,0.000,0.000,28800.000,0.000,28800.000
POSH POLARIZED,AP1059-BLK/BLUE-C4,3,38400.000,0.000,-9600.000,28800.000,0.000,28800.000
5004,5004-GOLD/BLT-C5,3,42700.000,-9600.000,-9600.000,23500.000,0.000,23500.000
81306,81306-BLUE/BLT-C4,3,33100.000,-6100.000,0.000,27000.000,0.000,27000.000
PHANTOM старые adora,2218-BLK/BLKFD-C4-124,3,28800.000,0.000,0.000,28800.000,0.000,28800.000
BEST,7175-BLK/BLK C2,3,55200.000,-30000.000,-9600.000,15600.000,0.000,15600.000
FALCON,2237-BLUE-C9-01,3,67200.000,-32400.000,-9600.000,25200.000,0.000,25200.000
80808,80808-BLK/BLT-C2,3,33100.000,-3150.000,0.000,29950.000,0.000,29950.000
OCTA,09047-BLK/FD-C1,3,38400.000,0.000,-9600.000,28800.000,0.000,28800.000
MAD,08039-BEIGE-C4,3,28800.000,0.000,0.000,28800.000,0.000,28800.000
80811,80811-BLKSLV/BLT-C6,3,37000.000,-17800.000,0.000,19200.000,0.000,19200.000
NEW AVIATOR,7073-GOLD/BRNFD,3,61400.000,-28400.000,-9600.000,23400.000,0.000,23400.000
5006,5006-GOLD/BLT-C5,3,37000.000,-9600.000,0.000,27400.000,0.000,27400.000
OLIVIA,M322-GREEN,3,33100.000,-6100.000,0.000,27000.000,0.000,27000.000
2146,2146-BLK/BLK,3,45200.000,0.000,0.000,45200.000,0.000,45200.000
LILY,08036-BLACK-C1,3,38400.000,-9600.000,-9600.000,19200.000,0.000,19200.000
Di POLARIZED,P7316-BLUE/BLK-C4-31,3,41300.000,-23900.000,0.000,17400.000,0.000,17400.000
5005,5005-BLKSLV/BLT-C6,3,43200.000,-24000.000,0.000,19200.000,0.000,19200.000
JAGA JAGA,167-BLK/BLT,3,37000.000,-17800.000,0.000,19200.000,0.000,19200.000
ChameleonX,XM6834-C1/BLK,3,59600.000,-34000.000,0.000,25600.000,0.000,25600.000
80808,80808-BLKSLV/BLT-C6,3,28800.000,0.000,0.000,28800.000,0.000,28800.000
GET READY POLARIZED,AP1205-BLK/BLUE-C4,3,28800.000,0.000,0.000,28800.000,0.000,28800.000
MIRA,7075-BLK/RED C9-124,3,37400.000,-6100.000,0.000,31300.000,0.000,31300.000
POWERFUL,TR02-C5,3,33100.000,-6100.000,0.000,27000.000,0.000,27000.000
BASILIO,7177-GOLD/BLK C6,3,87400.000,-28400.000,-15600.000,43400.000,0.000,43400.000
80811,80811-SLV/BLT-C5,3,46600.000,-17800.000,-9600.000,19200.000,0.000,19200.000
EVA,1120-BLK/BLK,3,60900.000,-18300.000,-15600.000,27000.000,0.000,27000.000
GRACE,AP1301-BRN/BRN-C2,3,96000.000,-24000.000,0.000,72000.000,0.000,72000.000
BEST,7175-GOLD/BRN C1,3,55200.000,-30000.000,-9600.000,15600.000,0.000,15600.000
81301,81301-GLSBLK/BLT-C1,3,28800.000,0.000,0.000,28800.000,0.000,28800.000
IBIZA,1601-GRYTORT/RED C7,3,33100.000,-6100.000,0.000,27000.000,0.000,27000.000
DOPE,M321-GREEN,3,61900.000,-24000.000,0.000,37900.000,0.000,37900.000
SELFIE POLARIZED,P1680-SLV/BLK C3,3,37400.000,-12200.000,0.000,25200.000,0.000,25200.000
81306,81306-CLR/BLT-C5,3,33100.000,0.000,0.000,33100.000,0.000,33100.000
81303,81303-BLK/BLT-C1,3,28800.000,0.000,0.000,28800.000,0.000,28800.000
POSH,A1059-BRN/BRN-C2,3,76800.000,-24000.000,-9600.000,43200.000,0.000,43200.000
5004,5004-BLKSLV/BLT-C6,3,37000.000,-17800.000,0.000,19200.000,0.000,19200.000
UNIQUE,TR03-C4,2,35600.000,-17800.000,0.000,17800.000,0.000,17800.000
STRONG,TR06-C4,2,35600.000,-35600.000,0.000,0.000,0.000,0.000
Man 16129,16129-BLUE-C4-66,2,48000.000,-32400.000,0.000,15600.000,0.000,15600.000
5005,5005-GOLD/BLT-C5,2,27400.000,0.000,0.000,27400.000,0.000,27400.000
81309,81309-GREY/BLT-C2,2,19200.000,0.000,0.000,19200.000,0.000,19200.000
81308,81308-BLK/BLT-C1,2,28800.000,-9600.000,-9600.000,9600.000,0.000,9600.000
NEW AVIATOR,7073-BLK/PURPPINK-C9-43,2,31700.000,-17800.000,0.000,13900.000,0.000,13900.000
Еще подарок! Очки-сюрприз 🎁,GIFT-S2,2,0.000,0.000,0.000,0.000,0.000,0.000
MAN 8028,8028-BROWN-C2,2,41800.000,-16200.000,0.000,25600.000,0.000,25600.000
MAN 8028,8028-BLK/FD-C4,2,48000.000,-32400.000,0.000,15600.000,0.000,15600.000
CLASSIC,TR11-C1,2,27400.000,-9600.000,0.000,17800.000,0.000,17800.000
VITO,2348-BROWN-C10-02,2,19200.000,0.000,0.000,19200.000,0.000,19200.000
MALIBU,173-GRN/BLT,2,33600.000,-16200.000,0.000,17400.000,0.000,17400.000
LIBERTY,TR-04 C5,2,27400.000,0.000,0.000,27400.000,0.000,27400.000
BRAVE,TR05-C2,2,35600.000,0.000,0.000,35600.000,0.000,35600.000
OCTA,09047-GRAY-C4,2,19200.000,0.000,0.000,19200.000,0.000,19200.000
LOKI,TR-2273-C2,2,48000.000,-24000.000,0.000,24000.000,0.000,24000.000
INDEPENDENCE,TR-08 C4,2,33100.000,-6100.000,-7800.000,19200.000,0.000,19200.000
PAPARAZZI,2258-GOLD/RED-C8-82,2,19200.000,0.000,0.000,19200.000,0.000,19200.000
